Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
128,MAO-KOP SPEC,1,MAO,MADGOAN JN.,19:40:00,19:40:00,0,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,2,KRMI,KARMALI,20:18:00,20:20:00,33,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,3,THVM,THIVIM,20:40:00,20:42:00,51,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,4,SWV,SAWANTWADI R,21:16:00,21:18:00,83,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,5,KUDL,KUDAL,21:38:00,21:40:00,104,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,6,SNDD,SINDHU DURG,21:54:00,21:56:00,114,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,7,KKW,KANKAVALI,22:18:00,22:20:00,132,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,8,VBW,VAIBHAVWADI,22:40:00,22:42:00,163,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,9,RAJP,RAJAPUR ROAD,22:56:00,22:58:00,179,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,10,RN,RATNAGIRI,23:52:00,23:57:00,244,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,11,SGR,SANGMESHWAR,00:34:00,00:36:00,280,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,12,CHI,CHIPLUN,01:10:00,01:12:00,322,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,13,KHED,KHED,01:52:00,01:54:00,352,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,14,MNI,MANGAON,04:00:00,04:02:00,422,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
128,MAO-KOP SPEC,15,ROHA,ROHA,04:55:00,05:00:00,455,MAO,MADGOAN JN.,KOP,CHHATRAPATI SHAHU MAHARAJ TERMINUS
